Name,Symbol,Market,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,code,url,매출액증가율_list,매출액증가율_score,영업이익증가율_list,영업이익증가율_score,영업이익률_list,영업이익률_score,ROE_list,ROE_score,부채비율_list,부채비율_score,total_score,total_price,total_price_group,PER,PER_list,PBR,PBR_list,score_drop
3S,060310,KOSDAQ,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시,060310,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=060310,"0.89,102.45,-13.11,36.23,-21.31",-5,"62.04,575.33,-27.85,-159.04,137.54",3,"-7.46,17.51,14.54,-6.3,3.0",3,"2.26,7.95,10.21,4.04,6.1",14,"55.39,58.04,65.88,69.87,71.17",-15,0,127900000000,GR3,62.28,"176.07,66.89,41.78,107.72,62.28",3.7,"176.07,66.89,41.78,107.72,62.28,3.85,4.97,3.92,4.24,3.7",False
AP시스템,265520,KOSDAQ,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,265520,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=265520,"29.35,-34.13,81.37,-53.96,51.8",9,"33.46,-1.23,22.93,-41.78,94.64",9,"11.16,16.74,11.34,14.35,18.39",10,"26.02,27.62,34.68,31.96,36.79",5,"137.69,151.01,123.83,132.34,115.11",9,42,294100000000,GR2,3.55,"12.98,8.76,6.74,6.47,3.55",1.1,"12.98,8.76,6.74,6.47,3.55,2.99,2.12,1.98,1.78,1.1",False
AP위성,211270,KOSDAQ,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,211270,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=211270,"-2.16,-18.97,410.51,-60.28,52.79",3,"26.18,-5.38,533.72,-90.42,-33.89",-21,"-12.56,-16.34,13.88,3.35,1.45",4,"-3.77,-2.83,1.74,2.4,4.29",3,"40.87,43.84,37.09,34.38,28.74",-15,-26,169600000000,GR3,49.67,"-90.36,-115.43,155.91,119.06,49.67",1.97,"-90.36,-115.43,155.91,119.06,49.67,3.28,3.13,2.54,2.68,1.97",False
BGF,027410,KOSPI,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,027410,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=027410,"35.09,11.23,0.19,106.7,-7.43",7,"270.24,49.26,-83.49,-3.67,1108.1",3,"10.25,13.76,2.27,1.06,13.79",12,"3.41,3.02,4.26,2.21,3.17",15,"7.83,9.54,14.36,13.9,11.41",-15,22,384300000000,GR2,8.04,"12.33,12.42,7.73,14.92,8.04",0.25,"12.33,12.42,7.73,14.92,8.04,0.41,0.37,0.32,0.33,0.25",False
BYC,001460,KOSPI,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,001460,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=001460,"11.99,1.52,23.39,-27.68,20.99",16,"-35.74,104.4,34.16,-31.61,-50.72",-15,"9.21,18.53,20.15,19.05,7.76",11,"4.63,5.37,6.39,5.91,9.08",15,"47.38,41.99,42.05,41.18,40.76",-15,12,249200000000,GR2,7.68,"16.88,15.21,12.67,13.42,7.68",0.66,"16.88,15.21,12.67,13.42,7.68,0.76,0.79,0.78,0.77,0.66",False
CJ,001040,KOSPI,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,001040,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=001040,"4.05,6.2,4.87,-1.78,13.07",4,"26.81,-12.32,-25.78,34.81,38.21",15,"6.81,5.62,3.98,5.46,6.67",15,"1.07,0.83,5.66,6.14,6.3",15,"147.68,150.19,154.84,163.07,166.44",6,55,2267000000000,GR0,8.56,"73.15,85.62,10.82,9.86,8.56",0.49,"73.15,85.62,10.82,9.86,8.56,0.72,0.64,0.55,0.55,0.49",False
CJ ENM,035760,KOSDAQ,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Ho Sung Kang, Sang Hyun Yoon",http://www.cjmall.com,서울특별시,035760,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=035760,"14.65,-5.55,16.04,-3.8,24.57",5,"-8.35,2.35,-66.25,67.45,12.05",12,"9.45,10.24,2.98,5.18,4.66",14,"3.02,4.05,5.36,3.57,1.98",15,"66.05,65.71,88.91,109.7,116.47",-5,41,2118300000000,GR0,28.99,"39.45,23.75,15.73,22.75,28.99",0.55,"39.45,23.75,15.73,22.75,28.99,1.05,0.84,0.76,0.77,0.55",False
CJ대한통운,000120,KOSPI,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시,000120,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=000120,"2.03,3.61,7.41,-6.55,9.8",-1,"88.24,16.3,-5.24,-24.21,53.49",1,"3.3,3.7,3.26,2.65,3.7",15,"1.07,0.89,1.59,1.96,5.19",15,"134.58,130.24,123.93,125.99,128.54",10,40,2726000000000,GR0,14.26,"115.97,118.55,52.51,42.84,14.26",0.63,"115.97,118.55,52.51,42.84,14.26,1.03,0.87,0.7,0.72,0.63",False
CJ씨푸드,011150,KOSPI,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 김정웅 (각자대표)",http://www.cjseafood.net,경기도,011150,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=011150,"-12.28,14.8,6.38,-10.87,-16.55",-23,"-73.87,41.96,-58.02,278.22,-73.29",-9,"1.83,2.26,0.89,3.79,1.21",15,"5.72,6.47,3.32,2.22,2.46",15,"74.94,77.85,98.76,99.05,94.15",-15,-17,116900000000,GR3,67.04,"44.16,32.19,62.28,97.72,67.04",1.63,"44.16,32.19,62.28,97.72,67.04,2.47,2.03,2.05,2.16,1.63",False
CJ제일제당,097950,KOSPI,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,097950,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=097950,"2.12,8.64,1.37,0.46,7.69",15,"21.94,-7.75,-45.37,84.11,15.75",10,"7.44,6.32,3.41,6.24,6.71",15,"8.35,8.28,10.76,10.83,10.36",12,"147.39,150.29,148.51,151.29,153.15",7,59,6066800000000,GR0,9.57,"16.07,13.96,10.36,9.36,9.57",0.9,"16.07,13.96,10.36,9.36,9.57,1.29,1.08,1.02,0.93,0.9",False
CMG제약,058820,KOSDAQ,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,058820,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=058820,"9.74,6.88,-3.49,6.69,5.68",3,"342.56,89.82,-108.27,908.23,66.5",27,"3.23,5.74,-0.49,3.72,5.87",10,"-0.36,0.29,1.73,1.12,1.14",9,"7.83,6.92,7.83,13.52,11.97",-15,34,384000000000,GR2,165.90,"-1102.08,1063.57,168.27,234.69,165.90",1.88,"-1102.08,1063.57,168.27,234.69,165.90,4.01,3.05,2.88,2.61,1.88",False
CS홀딩스,000590,KOSPI,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도,000590,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=000590,"5.25,-4.29,11.98,3.52,3.97",10,"61.69,-11.7,-23.81,-12.8,34.41",-9,"15.49,14.29,9.72,8.19,10.59",12,"3.19,5.08,5.87,5.73,6.75",15,"10.8,11.3,13.3,13.29,12.16",-15,13,82300000000,GR3,3.7,"10.76,6.08,5.05,5.77,3.7",0.23,"10.76,6.08,5.05,5.77,3.7,0.33,0.29,0.28,0.31,0.23",False
DB,012030,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시,012030,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=012030,"26.64,-1.74,4.91,4.58,13.15",14,"-43.94,-18.13,-41.19,265.83,-74.42",-21,"6.69,5.57,3.12,10.92,2.47",14,"2.87,3.67,5.78,5.37,5.54",15,"45.36,48.46,37.51,42.21,45.04",-15,7,159500000000,GR3,7.94,"24.54,18.25,8.81,10.43,7.94",0.43,"24.54,18.25,8.81,10.43,7.94,0.53,0.56,0.41,0.47,0.43",False
DB하이텍,000990,KOSPI,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도,000990,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=000990,"12.68,19.59,12.0,7.39,10.31",26,"34.33,46.18,16.11,31.41,17.44",37,"29.63,36.23,37.55,45.96,48.93",5,"20.64,24.18,33.35,41.26,46.17",5,"40.69,38.95,40.13,35.37,30.69",-15,58,2026700000000,GR0,4.2,"16.59,11.41,10.21,7.79,4.2",1.54,"16.59,11.41,10.21,7.79,4.2,3.06,2.42,2.86,2.61,1.54",False
DI동일,001530,KOSPI,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시,001530,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=001530,"1.15,-3.22,22.29,3.68,0.47",13,"10.31,-20.5,22.18,37.49,-3.81",2,"6.74,5.53,5.53,7.33,7.02",15,"5.56,6.97,8.01,8.8,8.47",15,"73.69,75.33,73.17,76.77,74.98",-15,30,441000000000,GR1,8.9,"17.3,22.35,16.86,14.26,8.9",0.53,"17.3,22.35,16.86,14.26,8.9,0.7,1.12,0.95,0.88,0.53",False
DL,000210,KOSPI,기타 금융업,지주회사,1976-02-02,12월,전병욱,http://www.dlholdings.co.kr,서울특별시,000210,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=000210,"13.99,7.11,7.89,31.47,66.44",34,"-28.05,57.08,-54.46,-4.96,82.73",-3,"8.16,11.97,5.05,3.65,4.01",14,"17.58,14.85,26.52,18.46,4.2",10,"75.4,81.95,83.72,157.38,160.43",-7,48,1385100000000,GR0,9.54,"2.58,2.41,1.47,2.09,9.54",0.39,"2.58,2.41,1.47,2.09,9.54,0.46,0.43,0.35,0.35,0.39",False
DL건설,001880,KOSPI,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시,001880,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=001880,"18.29,-5.89,36.46,-47.45,39.82",8,"-14.42,-1.49,12.3,-93.43,602.93",0,"10.91,11.43,9.4,1.18,5.91",13,"21.17,16.95,19.95,14.24,11.82",9,"76.09,66.27,74.3,66.46,67.75",-15,15,431100000000,GR1,4.53,"5.56,4.94,3.6,5.36,4.53",0.51,"5.56,4.94,3.6,5.36,4.53,0.95,0.78,0.66,0.72,0.51",False
DMS,068790,KOSDAQ,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도,068790,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=068790,"59.33,-3.91,10.32,-11.85,33.85",6,"114.54,-4.57,47.54,-18.07,42.94",9,"13.54,13.44,17.98,16.71,17.84",10,"20.51,23.83,13.45,13.97,13.1",8,"45.58,45.47,47.64,42.12,45.34",-15,18,135300000000,GR3,3.62,"4.29,3.16,5.02,4.72,3.62",0.44,"4.29,3.16,5.02,4.72,3.62,0.78,0.65,0.62,0.61,0.44",False
DRB동일,004840,KOSPI,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://drbworld.com,부산광역시,004840,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=004840,"14.88,8.87,-6.42,-3.4,23.68",-2,"-102.91,-1140.25,8.15,-397.32,203.13",-3,"-0.04,-0.5,-0.49,-2.51,2.09",-5,"-1.39,-2.44,-1.13,-1.74,1.0",-9,"72.79,73.53,74.94,83.48,87.96",-15,-34,91700000000,GR3,23.89,"-32.9,-14.41,-25.86,-16.97,23.89",0.22,"-32.9,-14.41,-25.86,-16.97,23.89,0.45,0.34,0.28,0.28,0.22",False
DSC인베스트먼트,241520,KOSDAQ,신탁업 및 집합투자업,투자조합 결성 및 투자,2016-12-19,12월,윤건수,http://www.dscinvestment.com,서울특별시,241520,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=241520,"162.51,-59.73,106.14,-11.77,115.13",9,"1611.84,-63.51,192.42,-32.31,177.75",9,"59.46,53.88,76.44,58.65,75.72",5,"48.01,41.34,23.61,29.6,33.36",5,"36.56,35.03,32.25,30.33,27.68",-15,13,122500000000,GR3,4.35,"6.16,6.94,10.35,7.84,4.35",1.23,"6.16,6.94,10.35,7.84,4.35,2.37,2.33,2.16,2.0,1.23",False
DSR,155660,KOSPI,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시,155660,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=155660,"18.53,-4.92,5.1,21.56,8.68",16,"-10.3,19.42,-75.03,769.63,-25.21",-11,"5.19,6.52,1.55,11.09,7.63",14,"6.56,7.51,7.29,9.03,10.0",15,"58.61,58.31,69.98,68.17,95.13",-15,19,90500000000,GR3,4.9,"10.72,13.72,7.46,6.74,4.9",0.46,"10.72,13.72,7.46,6.74,4.9,0.68,0.99,0.52,0.58,0.46",False
DSR제강,069730,KOSPI,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,"홍하종, 홍석빈 (각자 대표이사)",http://www.dsrcorp.com,전라남도,069730,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=069730,"11.09,-3.05,23.52,-0.12,7.39",-2,"11.22,258.41,631.67,57.56,-38.39",14,"-0.76,1.25,7.38,11.64,6.68",9,"1.77,2.65,5.08,9.47,11.29",14,"46.05,51.23,57.12,50.05,50.39",-15,20,72800000000,GR3,4.01,"38.29,34.2,8.94,5.39,4.01",0.43,"38.29,34.2,8.94,5.39,4.01,0.67,0.89,0.44,0.49,0.43",False
E1,017940,KOSPI,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 구동휘, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시,017940,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=017940,"-15.73,25.38,11.83,24.41,14.23",31,"-86.49,-1312.75,139.9,-69.88,716.52",3,"0.47,-4.55,1.63,0.39,2.81",10,"11.02,12.28,10.57,11.73,6.46",11,"194.05,194.8,191.2,214.05,202.78",5,60,319300000000,GR2,3.7,"2.85,2.65,2.51,2.15,3.7",0.2,"2.85,2.65,2.51,2.15,3.7,0.25,0.26,0.21,0.2,0.2",False
EG,037370,KOSDAQ,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도,037370,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=037370,"64.69,-26.41,23.74,-41.49,10.7",4,"2941.83,-18.74,-13.35,-149.93,113.0",-9,"10.11,11.16,7.81,-6.67,0.78",8,"-2.05,7.83,9.16,7.17,5.34",9,"183.53,159.15,148.24,152.65,147.36",7,19,82400000000,GR3,23.95,"-129.59,39.07,21.81,26.45,23.95",1.17,"-129.59,39.07,21.81,26.45,23.95,2.21,2.54,1.79,1.74,1.17",False
F&F홀딩스,007700,KOSPI,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,007700,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=007700,"10.04,1547.28,289.09,-22.45,-15.17",-10,"-45.39,11038.97,267.85,-21.27,-45.85",-15,"4.8,32.47,30.7,31.17,19.89",8,"478.51,160.17,153.6,845.31,8.45",7,"18.88,34.12,25.84,28.3,24.76",-15,-25,680500000000,GR0,6.34,"0.28,0.29,0.38,0.4,6.34",0.35,"0.28,0.29,0.38,0.4,6.34,0.94,0.73,0.67,0.55,0.35",False
FSN,214270,KOSDAQ,소프트웨어 개발 및 공급업,카울리,2015-03-25,12월,"이상석, 서정교 (각자 대표이사)",http://fsn.co.kr,서울특별시,214270,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=214270,"18.33,2.14,-1.62,-17.18,13.14",-7,"71.36,-61.89,72.98,-116.95,264.83",9,"7.09,2.64,4.65,-0.95,1.39",10,"-9.91,-6.72,0.11,3.67,-1.5",-3,"87.81,87.83,72.85,65.85,85.22",-15,-6,122000000000,GR3,-74.23,"-16.41,-21.71,3846.2,64.17,-74.23",1.07,"-16.41,-21.71,3846.2,64.17,-74.23,1.7,1.4,3.55,2.02,1.07",False
GH신소재,130500,KOSDAQ,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.ghglobal.co.kr,경상북도,130500,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=130500,"5.68,-3.59,0.81,20.65,5.57",15,"122.6,-22.33,8.3,77.19,54.69",27,"4.18,3.37,3.62,5.32,7.79",15,"1.47,1.5,4.32,6.13,8.26",15,"102.37,65.45,47.93,50.26,49.46",-10,62,62300000000,GR3,10.87,"123.69,82.74,37.69,22.67,10.87",0.77,"123.69,82.74,37.69,22.67,10.87,1.8,1.25,1.54,1.26,0.77",False
GRT,900290,KOSDAQ,기타 금융업,"광학필름, 포장필름",2016-10-25,06월,주영남,,홍콩,900290,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=900290,"-4.33,9.14,4.02,9.77,-19.58",-9,"12.87,-3.63,-6.81,-66.78,110.91",-10,"16.59,14.65,13.13,3.97,10.42",11,"8.5,8.03,7.58,6.47,5.46",15,"14.31,30.08,53.41,85.2,85.81",-15,-8,89600000000,GR3,2.52,"1.4,1.44,1.45,2.19,2.52",0.13,"1.4,1.44,1.45,2.19,2.52,0.11,0.11,0.1,0.13,0.13",False
GS,078930,KOSPI,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시,078930,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=078930,"3.64,24.18,8.83,16.43,3.94",23,"-31.27,31.19,27.39,53.16,22.93",39,"10.93,11.55,13.52,17.79,21.04",9,"9.59,11.51,15.54,15.69,21.32",10,"141.62,131.35,119.61,119.17,107.94",10,91,4255500000000,GR0,1.79,"5.26,4.06,2.56,2.71,1.79",0.34,"5.26,4.06,2.56,2.71,1.79,0.49,0.44,0.36,0.39,0.34",False
GST,083450,KOSDAQ,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도,083450,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=083450,"15.0,-5.17,17.89,-33.88,31.82",5,"18.86,-5.43,-12.0,-10.71,55.51",-10,"16.57,16.53,12.34,16.66,19.65",10,"19.3,25.66,29.42,27.66,26.76",6,"38.14,37.66,36.26,33.2,31.56",-15,-4,205400000000,GR2,5.16,"11.22,7.46,9.29,7.95,5.16",1.16,"11.22,7.46,9.29,7.95,5.16,1.89,1.62,2.27,1.84,1.16",False
GS건설,006360,KOSPI,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시,006360,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=006360,"10.8,-2.69,20.6,-9.29,28.28",8,"-29.27,21.89,26.54,-20.46,7.25",5,"5.6,7.01,7.36,6.45,5.39",15,"7.39,7.96,9.32,8.8,10.44",14,"211.85,205.61,211.61,217.8,210.66",5,47,2528900000000,GR0,5.57,"11.32,10.41,8.26,9.98,5.57",0.55,"11.32,10.41,8.26,9.98,5.57,0.82,0.8,0.73,0.84,0.55",False
GS리테일,007070,KOSPI,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,"허연수, 김호성",http://www.gsretail.com,서울특별시,007070,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=007070,"8.83,19.25,-2.6,-2.11,8.4",-11,"14.06,139.43,-74.95,6.48,73.56",18,"1.87,3.76,0.97,1.05,1.68",15,"6.22,26.4,25.58,25.38,25.64",7,"173.39,113.46,114.21,123.42,123.29",9,38,2649300000000,GR0,3.32,"21.21,3.3,3.39,3.52,3.32",0.65,"21.21,3.3,3.39,3.52,3.32,1.29,0.83,0.76,0.73,0.65",False
HB솔루션,297890,KOSDAQ,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도,297890,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=297890,"-11.55,224.45,2.0,57.91,162.75",33,"92.55,996.75,14.28,110.82,447.45",42,"-2.59,7.16,8.02,10.7,22.3",7,"-7.58,1.75,8.15,15.53,32.16",6,"2.89,24.02,53.13,52.72,49.97",-15,73,254100000000,GR2,6.91,"-44.77,168.59,45.63,24.65,6.91",1.64,"-44.77,168.59,45.63,24.65,6.91,3.03,3.39,3.5,3.06,1.64",False
HDC,012630,KOSPI,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 정경구",http://www.i-park.com,서울특별시,012630,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=012630,"14.89,3.29,12.46,-11.99,11.98",8,"-9.44,-30.39,-60.5,-346.68,184.7",-15,"10.2,6.87,2.41,-6.77,5.12",9,"3.94,7.77,4.9,0.93,0.64",15,"129.43,125.89,121.68,140.39,133.16",10,27,409800000000,GR1,26.59,"8.63,3.7,5.5,19.74,26.59",0.15,"8.63,3.7,5.5,19.74,26.59,0.31,0.26,0.24,0.17,0.15",False
HDC랩스,039570,KOSPI,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리",2015-09-24,12월,김성은,http://hdc-labs.com,서울특별시,039570,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=039570,"4.95,-8.25,127.47,15.69,18.99",22,"-47.82,-38.54,28.51,44.09,50.14",27,"4.04,2.71,1.53,1.9,2.4",15,"7.08,6.71,4.23,3.87,4.5",15,"27.31,25.78,54.77,51.5,46.03",-15,64,219000000000,GR2,20.46,"20.77,18.22,23.14,25.25,20.46",0.8,"20.77,18.22,23.14,25.25,20.46,1.33,1.1,1.1,0.95,0.8",False
HDC현대EP,089470,KOSPI,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,정 중 규,http://www.hdc-hyundaiep.com/,충청남도,089470,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=089470,"9.48,-1.66,9.01,7.39,8.61",7,"15.09,55.17,-83.9,202.11,-78.1",-4,"3.57,5.63,0.83,2.34,0.47",15,"4.93,5.53,3.47,2.88,1.31",15,"93.66,81.61,89.46,106.05,109.3",-5,28,137800000000,GR3,30.72,"14.28,11.51,18.45,17.66,30.72",0.37,"14.28,11.51,18.45,17.66,30.72,0.63,0.56,0.57,0.46,0.37",False
HDC현대산업개발,294870,KOSPI,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"최익훈, 정익희, 김회언 (각자 대표이사)",http://www.hdc-dvp.com,서울특별시,294870,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=294870,"16.96,5.79,16.06,-31.26,39.93",13,"-11.43,-36.68,-124.44,-480.32,170.83",-15,"12.91,7.73,-1.63,-13.73,6.95",4,"6.59,10.89,6.28,0.34,-0.08",8,"127.6,120.51,127.58,156.07,144.42",9,19,807300000000,GR0,-336.07,"11.25,5.98,8.55,106.13,-336.07",0.26,"11.25,5.98,8.55,106.13,-336.07,0.72,0.62,0.52,0.36,0.26",False
HD현대,267250,KOSPI,석유 정제품 제조업,지주회사,2017-05-10,12월,"권오갑, 정기선 (각자 대표이사)",http://www.hdhyundai.co.kr,서울특별시,267250,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=267250,"4.19,14.96,16.46,33.29,39.46",38,"-65.44,63.44,-78.54,1143.45,53.52",21,"2.92,4.15,0.76,7.13,7.85",15,"-4.87,-4.92,-1.98,0.8,12.92",-4,"165.97,195.53,201.29,205.09,202.23",5,75,4929100000000,GR0,5.28,"-16.35,-15.0,-32.06,79.48,5.28",0.59,"-16.35,-15.0,-32.06,79.48,5.28,0.75,0.71,0.6,0.59,0.59",False
HK이노엔,195940,KOSDAQ,의약품 제조업,"전문의약품, 숙취해소음료",2021-08-09,12월,곽달원,http://www.inno-n.com,충청북도,195940,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=195940,"-1.02,2.0,11.0,-13.93,39.76",8,"-77.29,476.76,1.08,-75.49,317.42",9,"1.6,9.05,8.24,2.35,7.01",15,"4.22,3.03,2.61,2.53,3.93",15,"109.29,63.09,59.65,58.73,57.79",-10,37,1150300000000,GR0,28.27,"nan,43.36,53.55,50.8,28.27",0.94,"nan,43.36,53.55,50.8,28.27,nan,1.32,1.32,1.13,0.94",False
HMM,011200,KOSPI,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,김경배,http://www.hmm21.com,서울특별시,011200,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=011200,"19.71,38.18,10.62,10.71,2.34",27,"36.27,63.49,18.84,16.68,-6.72",8,"47.78,56.54,60.74,64.01,58.34",5,"15.24,59.49,88.62,106.86,98.28",6,"140.83,99.85,72.58,59.71,45.66",-10,36,10636600000000,GR0,1.03,"27.8,4.24,1.96,1.5,1.03",0.7,"27.8,4.24,1.96,1.5,1.03,3.44,1.77,1.27,1.06,0.7",False
