Name,Symbol,Market,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,code,url,매출액증가율_list,매출액증가율_score,영업이익증가율_list,영업이익증가율_score,영업이익률_list,영업이익률_score,ROE_list,ROE_score,부채비율_list,부채비율_score,total_score,total_price,total_price_group,PER,PER_list,PBR,PBR_list,score_drop
우리엔터프라이즈,037400,KOSDAQ,상품 종합 도매업,"변환장치 제조업 백열전구, 형광등",1999-12-16,12월,황도연 단독대표이사,http://www.wooree.co.kr,경기도,037400,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=037400,"7.45,-0.34,-0.36,-10.27,12.64",-16,"7.84,-8.38,-57.62,110.51,35.67",13,"3.42,3.15,1.34,3.14,3.78",15,"10.53,9.72,23.52,21.35,20.65",8,"217.88,219.95,194.59,193.47,159.04",5,25,70800000000,GR3,3.1,"11.23,9.27,3.34,4.27,3.1",0.53,"11.23,9.27,3.34,4.27,3.1,1.05,0.78,0.65,0.76,0.53",False
우리이앤엘,153490,KOSDAQ,반도체 제조업,LED 패키지,2013-02-05,12월,차기현,http://www.wooreeenl.co.kr,경기도,153490,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=153490,"10.71,-1.77,7.69,6.63,-8.34",-12,"159.28,-42.05,24.32,-8.65,75.57",9,"12.74,7.51,8.67,7.43,14.24",13,"5.93,10.15,27.35,25.62,29.2",8,"66.88,67.36,73.65,70.08,58.97",-15,3,70500000000,GR3,2.77,"22.35,12.41,4.78,4.88,2.77",0.73,"22.35,12.41,4.78,4.88,2.77,1.27,1.17,1.2,1.14,0.73",False
우성,006980,KOSPI,"곡물가공품, 전분 및 전분제품 제조업","배합사료,Suit-feed(맞춤 TMR(육성우,건유우,착유우) 사료),농후사료,곡류(강피류 등 부산물) 제조,판매/부동산 임대,무역",1988-10-10,12월,한재규,http://wsgroup.co.kr,대전광역시,006980,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=006980,"10.85,11.58,1.77,-0.63,12.1",7,"84.78,7502.99,-156.86,38.75,189.04",27,"-0.03,2.15,-1.2,-0.74,0.59",0,"4.11,4.2,-3.32,-3.42,-4.52",-3,"97.97,102.01,100.07,102.19,143.19",5,36,77200000000,GR3,-9.66,"15.93,12.97,-14.92,-15.52,-9.66",0.37,"15.93,12.97,-14.92,-15.52,-9.66,0.54,0.45,0.42,0.45,0.37",False
우원개발,046940,KOSDAQ,기반조성 및 시설물 축조관련 전문공사업,토공사,2002-06-18,12월,"김기영,김기현(각자대표)",http://www.woowonerd.com,서울특별시,046940,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=046940,"34.41,-5.15,-0.28,-5.05,14.34",-14,"236.91,-260.02,136.3,-110.83,212.63",9,"2.97,-5.01,1.82,-0.21,0.21",5,"5.43,-4.89,1.18,1.3,-1.7",3,"60.32,58.13,59.3,58.67,63.93",-15,-12,79700000000,GR3,-42.00,"24.03,-21.77,74.41,81.9,-42.00",0.72,"24.03,-21.77,74.41,81.9,-42.00,1.28,1.09,0.88,1.06,0.72",False
우주일렉트로,065680,KOSDAQ,전자부품 제조업,정보통신용 초정밀커넥터,2004-01-02,12월,"노영백, 노중산(각자대표이사)",http://www.uju.com,경기도,065680,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=065680,"-5.08,11.45,-4.81,4.19,-6.89",-19,"1.99,21.31,-12.36,16.35,-14.29",-9,"11.77,12.81,11.79,13.17,12.12",10,"10.2,10.56,8.08,8.73,7.96",13,"28.85,28.25,28.79,31.13,30.86",-15,-20,213500000000,GR2,12.42,"14.12,11.37,19.81,14.42,12.42",0.79,"14.12,11.37,19.81,14.42,12.42,1.16,0.96,1.29,1.01,0.79",False
우진,105840,KOSPI,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기,2010-07-26,12월,"이재상, 백승한 각자대표",http://www.woojininc.com,경기도,105840,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=105840,"51.32,-21.2,65.67,-33.22,25.94",9,"617.19,-77.32,458.63,-91.1,933.53",9,"12.43,3.58,12.07,1.61,13.2",12,"24.56,13.75,-5.4,9.54,6.06",6,"44.03,42.8,44.01,42.74,36.39",-15,21,263100000000,GR2,29.84,"5.89,10.38,-21.33,17.11,29.84",1.72,"5.89,10.38,-21.33,17.11,29.84,1.25,1.3,1.16,1.52,1.72",False
우진비앤지,018620,KOSDAQ,의약품 제조업,"슈퍼티아, 안티펜SM",2008-05-20,12월,강석진,http://www.woogenebng.com,경기도,018620,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=018620,"-22.62,30.23,14.38,5.73,-0.16",-2,"-522.56,345.16,-115.85,1586.01,-46.3",-9,"-2.65,4.99,-0.69,9.72,5.23",5,"-4.61,-8.82,-7.41,-2.62,-4.5",-15,"70.55,68.43,71.68,67.25,60.63",-15,-36,62800000000,GR3,-41.96,"-56.13,-23.29,-26.81,-73.3,-41.96",1.92,"-56.13,-23.29,-26.81,-73.3,-41.96,2.39,2.04,1.95,1.98,1.92",False
우진아이엔에스,010400,KOSPI,건물설비 설치 공사업,반도체/디스플레이 코팅덕트,2018-09-14,12월,홍경모,http://www.woojini.com,서울특별시,010400,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=010400,"51.86,-3.78,4.37,-30.01,21.08",3,"84.56,-89.24,106.74,-1749.15,-1.18",-21,"-2.96,-5.82,0.38,-8.86,-7.41",-5,"0.82,0.48,-3.24,-0.45,-2.3",-3,"21.04,17.05,18.09,16.16,16.69",-15,-41,48100000000,GR3,-20.52,"84.59,131.29,-16.9,-126.32,-20.52",0.42,"84.59,131.29,-16.9,-126.32,-20.52,0.62,0.57,0.49,0.5,0.42",False
웅진씽크빅,095720,KOSPI,초등 교육기관,"기타출판 제조/서적,교구,통신판매 도소매/부동산 임대/교구렌탈,컴퓨터운용관련서비스",2007-05-31,12월,이재진,http://www.wjthinkbig.com,경기도,095720,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=095720,"5.17,17.8,6.46,-0.1,1.43",1,"62.93,40.84,-60.27,-138.78,703.62",3,"4.03,4.82,1.8,-0.7,4.15",10,"9.86,9.35,11.81,10.5,4.25",13,"104.08,104.25,106.57,115.41,109.24",10,37,292800000000,GR2,17.47,"13.19,11.25,8.46,9.5,17.47",0.72,"13.19,11.25,8.46,9.5,17.47,1.3,1.05,0.99,0.99,0.72",False
원림,005820,KOSPI,직물직조 및 직물제품 제조업,"고무,플라스틱제품,산업용포장재,PP.BAG,타포린 제조,도매/부동산 임대/주택 신축,판매/인터넷 정보통신/벤처회사 투자",1990-04-20,12월,신성엽,http://www.wonlim.co.kr,서울특별시,005820,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=005820,"4.89,7.44,10.59,3.36,-8.19",-2,"-272.42,160.18,193.43,-24.14,-68.06",-15,"-8.65,4.85,12.86,9.44,3.28",9,"17.03,0.99,1.33,3.75,5.33",14,"28.6,25.87,25.73,24.68,22.13",-15,-9,54000000000,GR3,9.12,"3.74,45.14,31.47,12.6,9.12",0.43,"3.74,45.14,31.47,12.6,9.12,0.53,0.4,0.37,0.42,0.43",False
원방테크,053080,KOSDAQ,일반 목적용 기계 제조업,클린룸 설비,2020-09-24,12월,"구자겸, 정우현 (각자 대표이사)",http://wonbangtech.com,충청북도,053080,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=053080,"-0.42,91.27,25.02,-11.89,-17.59",-15,"-95.49,2796.26,116.59,0.79,-55.66",1,"0.24,3.67,6.35,7.27,3.91",15,"2.49,3.3,6.24,10.45,12.84",13,"67.92,83.76,92.5,83.32,75.21",-15,-1,170200000000,GR3,7.31,"62.17,52.12,21.71,10.98,7.31",0.88,"62.17,52.12,21.71,10.98,7.31,1.46,1.71,1.32,1.09,0.88",False
원익,032940,KOSDAQ,기계장비 및 관련 물품 도매업,"Quartz, HIC, 의료기기",1997-07-18,12월,장홍식,http://www.wonik.co.kr,경기도,032940,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=032940,"7.32,-22.75,5.87,12.5,21.87",21,"-4.37,-76.4,-202.73,479.44,-39.52",-21,"12.12,3.7,-3.59,12.11,6.01",8,"77.59,85.05,14.22,11.94,9.02",9,"45.66,45.15,46.19,46.79,46.27",-15,2,67500000000,GR3,3.33,"0.88,0.65,2.81,3.25,3.33",0.29,"0.88,0.65,2.81,3.25,3.33,0.5,0.39,0.37,0.37,0.29",False
원익IPS,240810,KOSDAQ,특수 목적용 기계 제조업,반도체 제조용 기계,2016-05-02,12월,Hyeondeok Lee,http://.www.ips.co.kr,경기도,240810,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=240810,"49.14,69.94,-13.7,-53.93,21.33",3,"155.63,315.37,-35.42,-139.87,184.95",3,"9.53,23.29,17.43,-15.08,10.56",6,"17.44,21.93,15.55,19.82,19.0",9,"83.73,68.49,32.66,45.76,48.79",-15,6,1352200000000,GR0,13.26,"23.13,16.2,16.7,14.31,13.26",2.28,"23.13,16.2,16.7,14.31,13.26,3.68,3.17,2.38,2.55,2.28",False
원익QnC,074600,KOSDAQ,유리 및 유리제품 제조업,반도체용 석영유리,2003-12-12,12월,백홍주,http://www.wonikqnc.com,경상북도,074600,https://navercomp.wisereport.co.kr/v2/company/c1040001.aspx?cmp_cd=074600,"12.39,-0.99,2.48,11.77,5.75",12,"22.37,9.3,-41.27,117.16,5.49",13,"15.24,16.82,9.64,18.73,18.69",11,"17.47,20.15,21.52,21.04,22.59",6,"123.67,122.47,116.86,110.41,110.54",10,52,724200000000,GR0,10.37,"18.04,11.61,12.8,11.3,10.37",2.1,"18.04,11.61,12.8,11.3,10.37,2.9,2.11,2.44,2.13,2.1",False
