,cnt,date,title,content,org_link,link,Day
138,139,2017-07-31 04:00:00,머니투데이 오프<b>라인</b> <b>헤드라인</b> - 31일자,"[종합] &quot;2주택자 LTV·DTI, 일률적 10%p 강화&quot; 가정<b>양육</b>수당 인상 또 무산···아동수당 통합 않고 별도 지급... 절반 &apos;뚝&apos;···정의선 &quot;<b>지원</b> 절실&quot; 男 편집숍·젤라또···정용진 &apos;PL 영토확장&apos; 가속 [중기·신성장] &quot;가맹점은... ",http://www.mt.co.kr/view/mtview.php?type=1&no=2017073021113580514&outlink=1,http://www.mt.co.kr/view/mtview.php?type=1&no=2017073021113580514&outlink=1,2017-07-31
129,130,2017-07-20 16:00:00,[연합뉴스 이 시각 <b>헤드라인</b>] - 16:00,"■ 검찰, KAI 경영<b>지원</b>본부장 전격 소환…경영진 첫 조사 한국항공우주산업(KAI)의 수백억원대 원가... 전문보기 : http://yna.kr/EsRa6KmDARp ■ 법원 &quot;이부진, 임우재와 이혼하고 86억 지급…<b>양육</b>권은 이부진&quot; 이부진... ",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170720140200011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170720140200011&did=1195m,2017-07-20
613,614,2017-07-20 15:40:00,면민과 함께 더 큰 표선면 민원행정 구현을 위해,"▲ 박미정 / 서귀포시 표선면사무소 ⓒ<b>헤드라인</b>제주 오늘도 우리는 우리 면을 방문하는 모든 주민에게... 영유아 <b>양육</b>비 <b>지원</b> 등의 각종 혜택도 안내하고 있다. 둘째, 주민등록법 시행령이 개정되면서 2017년 7월 1일부터... ",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=311667,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=311667,2017-07-20
647,648,2017-07-14 07:57:00,[충청브리핑] 국민의당·한국당 ‘날개 없는 추락’,"다음은 14일자 충청권 신문들의 <b>헤드라인</b> 뉴스다. ◇조선일보 -우병우처럼 누구도 손 못 대는…‘王행정관’... 19명 초저출산지역, 출산<b>양육지원</b> 꼴찌서 두 번째 -패스트푸드 위생 엉망…‘햄버거병’ 불안 확산... ",http://www.newdaily.co.kr/news/article.html?no=350949,http://www.newdaily.co.kr/news/article.html?no=350949,2017-07-14
99,100,2017-07-07 16:48:00,[<b>헤드라인</b> 충청] 7월7일자 충청권 톱뉴스,7월7일자 충청권 지역신문들의 1면 <b>헤드라인</b>을 살펴볼까요? 충청권 주요 소식입니다. 충청일보는 김상곤... 사립대 <b>지원</b> 중단 부실사학 정리 공영형 사립대 육성 제안도 -5년간 해외체류 아동에 <b>양육</b>수당 974억 &apos;펑펑&apos; 도내... ,http://www.ccdailynews.com/news/articleView.html?idxno=929755,http://www.ccdailynews.com/news/articleView.html?idxno=929755,2017-07-07
648,649,2017-07-07 07:57:00,[충청브리핑] MRO 사업좌초…“정부가 땅 사라”,"다음은 7일자 충청권 신문 등의 <b>헤드라인</b> 뉴스다. ◇조선일보 -원정 시위대, 경찰 차량도 검문…석달째... 사립대 <b>지원</b> 중당 부실사학 정리 공영형 사립대 육성 제안 -해외체류 아동에 <b>양육</b>수당 ‘펑펑’ 바른정당 홍철호... ",http://www.newdaily.co.kr/news/article.html?no=350298,http://www.newdaily.co.kr/news/article.html?no=350298,2017-07-07
112,113,2017-07-07 01:48:00,오늘의 충청투데이 <b>헤드라인</b> (대전·세종·충남·충북 7월 7일 금요일),[충청투데이] 충청투데이가 &apos;오늘의 <b>헤드라인</b>&apos; 코너를 통해 일목요연하게 주요뉴스를... mod=news&amp;act=articleView&amp;idxno=1072161올해 대전지역 상장사 ‘0’ 상장 <b>지원</b>기관 유치 시급... ,http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1072225,http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1072225,2017-07-07
108,109,2017-07-06 22:00:00,[에너지경제신문 오프<b>라인</b>] 먼저 만나는 에너지경제신문 <b>헤드라인</b> - 7월 7일,"[에너지경제신문 오프<b>라인</b>] 먼저 만나는 에너지경제신문 <b>헤드라인</b> - 7월 7일  미리 보는 &apos;에너지경제&apos; 지면... ◇건설부동산뉴스테이 축소?… &quot;<b>지원</b>없인 힘들다&quot;태영건설, 경기도 신청사 수주…하반기 사업 탄력 제대로... ",http://www.ekn.kr/news/article.html?no=298390,http://www.ekn.kr/news/article.html?no=298390,2017-07-06
615,616,2017-06-28 15:52:00,이중환 시장 취임 1년 &quot;소통.혁신 통한 시민중심 시정 구현&quot;,ⓒ<b>헤드라인</b>제주 오는 7월1일 취임 1주년을 맞는 이중환 서귀포시장이 지난 1년간 &quot;소통과 혁신을 통한 시민... 가정 <b>양육</b>에 대한 맞춤형 복지를 제공하기 위해 &apos;육아종합<b>지원</b>센터&apos;도 건립해 지난 3월부터 운영 중&quot;이라고... ,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=309823,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=309823,2017-06-28
111,112,2017-06-26 17:54:00,[<b>헤드라인</b>충청] 6월26일자 충청권 톱뉴스,6월26일자 충청권 지역신문들의 1면 <b>헤드라인</b>을 살펴볼까요? 충청권 소식입니다. 신문들은 지난 주말과... 아동<b>양육</b>시설서 민심 수렴 -&quot;순국선열 헌신 잊지 않겠습니다&quot; 극심한 가뭄이 연일 계속되고 있는 가운데 25일... ,http://www.ccdailynews.com/news/articleView.html?idxno=928026,http://www.ccdailynews.com/news/articleView.html?idxno=928026,2017-06-26
116,117,2017-04-17 12:51:00,서귀포육아<b>지원</b>센터 개관...&quot;어린이 <b>양육</b> 종합서비스 제공&quot;,가정<b>양육</b> 아동이 이용할 있는 시간제 보육실과 요리·목공체험실 등 체험공간이 있다. ▲ 17일 열린 서귀포시육아종합<b>지원</b>센터 개관식. ⓒ<b>헤드라인</b>제주 3층에는 강당이 마련돼 있어 언제든지 보육교사 및 영유아... ,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=304298,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=304298,2017-04-17
639,640,2017-04-17 12:48:00,제37회 장애인의날...장한장애인대상 김두홍씨 선정,▲ 김두홍씨 ⓒ<b>헤드라인</b>제주 제주특별자치도가 제37회 장애인의날을 맞아 장한장애인대상에 김두홍씨(62)... 일과 <b>양육</b>을 병행했다. 장애자녀의 교육에 도움이 되기 위해 카운슬러 및 부모교육 자격증과... ,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=304295,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=304295,2017-04-17
652,653,2017-04-09 10:04:00,세월호 관련 해양수산부 공식 브리핑,<b>양육</b> 작업은 모듈 트랜스포터를 취재<b>지원</b>센터가 있는 방향으로 약 200km가량 이동시킨 후 단계적인 조정을... 통제<b>라인</b>이 설치되고 작업자 외에는 출입이 제한됩니다. 안전상의 우려를 감안하여 취재단 여러분께도 현장... ,http://www.ytn.co.kr/_ln/0301_201704091004105175,http://www.ytn.co.kr/_ln/0301_201704091004105175,2017-04-09
144,145,2017-03-09 16:00:00,[연합뉴스 이 시각 <b>헤드라인</b>] - 16:00,"평가에서 최하위 등급을 받은 대학은 국가장학금 <b>지원</b>과 각종 재정<b>지원</b>사업에서 배제된다. 다만... 특히 황혼이혼과 금융사기, 중대질병, 성인자녀 <b>양육</b>, 창업실패 등 5대 위험을 실제로 겪은 은퇴자들의 평균... ",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170309140300011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170309140300011&did=1195m,2017-03-09
133,134,2017-03-04 10:00:00,[연합뉴스 이 시각 <b>헤드라인</b>] - 10:00,"오늘 보건복지부에 따르면 2013년부터 0∼5세 무상보육이 시행됐지만, 영유아를 집에서 <b>양육</b>하느냐, 아니면 보육시설에 보내느냐에 따라서 정부 <b>지원</b>금은 차이가 매우 크다. 전문보기: http://yna.kr/dGR84KWDA-9",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170304029800011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170304029800011&did=1195m,2017-03-04
136,137,2017-02-28 12:00:00,[연합뉴스 이 시각 <b>헤드라인</b>] - 12:00,"전문보기 : http://yna.kr/31RJ4K.DAZP ■ 美, 김정남 &apos;VX 암살&apos; 북한 테러<b>지원</b>국 재지정 검토 착수 미국 정부가... 전문보기 : http://yna.kr/h1RR4KPDAZz ■ &quot;무리한 사교육 노후에 &apos;毒&apos;…대학까지 <b>양육</b>비 4억 육박&quot; 자녀 1명당... ",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170228098300011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170228098300011&did=1195m,2017-02-28
684,685,2017-01-04 11:26:00,제주시 &quot;복지사각 없앤다&quot;...어르신.장애인 등 예산 확대,ⓒ<b>헤드라인</b>제주 제주시는 올해 &apos;더 함께 나누고 보살펴서 따뜻한 복지사회 조성&apos;을 목표로 취약계층 등... <b>지원</b>되던 취사부 및 운전기사 인건비가 전 어린이집에 월 45만원씩 확대한다. 또 시설 미이용 아동 <b>양육</b>수... ,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=295683,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=295683,2017-01-04
693,694,2016-12-29 07:14:00,"[충청브리핑] 반기문, 특정黨 입당 아닌 ‘독자세력화’","다음은 충청권 신문들의 <b>헤드라인</b> 뉴스다. ◇동아일보 -반기문, 특정黨 입당 아닌 ‘독자세력화’ 추진... 2% “내년 경영상황은 더 암울” 정부 내수경기 활성화 <b>지원</b> 절실 -충남도 4급 이상 71명 인사…첫 여성국장 탄생... ",http://www.newdaily.co.kr/news/article.html?no=331440,http://www.newdaily.co.kr/news/article.html?no=331440,2016-12-29
150,151,2016-12-28 16:00:00,&lt;연합뉴스 이 시각 <b>헤드라인</b>&gt; - 16:00,출산전후휴가 급여 상한액이 150만원으로 상향조정되고 한부모 가족 아동<b>양육</b>비도 <b>지원</b> 연령대에 맞춰 인상된다. 전문보기 : http://yna.kr/iRR.3KlDA7h ■ 공정위 &apos;특허권 갑질&apos; 퀄컴에 과징금 1조원 폭탄…역대 최대... ,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20161228133400011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20161228133400011&did=1195m,2016-12-28
141,142,2016-12-04 10:00:00,&lt;연합뉴스 이 시각 <b>헤드라인</b>&gt; - 10:00,전문보기: http://yna.kr/42Ru3KXDAP3 ■ 수도권 살면 &apos;출산의지&apos; 약해져…&quot;<b>양육</b>·주거 부담&quot; 수도권에 사는... 위한 &apos;유아교육<b>지원</b> 특별회계&apos;가 신설돼 연초마다 겪은 &apos;보육대란&apos;을 내년에는 피할 수 있을 전망이다. 4일... ,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20161204011600011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20161204011600011&did=1195m,2016-12-04
718,719,2016-11-03 07:35:00,"[충청브리핑] 공개수배 이영복, ‘최순실과 계모임’","다음은 3일자 충청권 신문들의 <b>헤드라인</b> 뉴스다. ◇중부매일 -지식인 교수들이 결국 나섰다 충북대 161명... 인쇄출판특화<b>지원</b>센터 설치 市, 중기청과 5년간 25억들여 경영교육컨설팅 등 추진 “직지코리아 등 관광사업... ",http://www.newdaily.co.kr/news/article.html?no=326046,http://www.newdaily.co.kr/news/article.html?no=326046,2016-11-03
142,143,2016-09-21 08:00:00,&lt;연합뉴스 이 시각 <b>헤드라인</b>&gt; - 08:00,"전문보기: http://yna.kr/OqRu2KoDAP1 ■ 0세 집에서 돌보면 20만원, 어린이집 맡기면 82만5천원 <b>지원</b> 영유아의 가정<b>양육</b>수당이 어린이집 <b>지원</b>금에 비해 크게 낮아 상향 조정할 필요가 있다는 지적이 나온다. 오늘... ",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160921024600011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160921024600011&did=1195m,2016-09-21
124,125,2016-09-12 21:28:00,[에너지경제 오프<b>라인</b>] 먼저 만나는 에너지경제신문 <b>헤드라인</b> - 9월 13일,[에너지경제 오프<b>라인</b>] 먼저 만나는 에너지경제신문 <b>헤드라인</b> - 9월 13일 [에너지경제 한상희 기자] 미리... 100억 <b>지원</b> &quot;한진사태 확산 도의적 책임&quot; ◇종합-1철강 산업 ‘구조조정 신호탄’ 언제 쏘나美 금리 인상... ,http://www.ekn.kr/news/article.html?no=238222,http://www.ekn.kr/news/article.html?no=238222,2016-09-12
125,126,2016-09-07 17:47:00,[<b>헤드라인</b> 충청] 9월7일자 충청권 톱뉴스,"9월7일자 충청권 지역신문들의 1면 <b>헤드라인</b>을 살펴볼까요?? 충북 주요 소식입니다. 청주시가... 청주시가 발표한 &apos;인구 100만명 만들기&apos;사업은 출산장려 및 <b>양육</b>여건 개선, 전입촉진, 일자리 창출... ",http://www.ccdailynews.com/news/articleView.html?idxno=889738,http://www.ccdailynews.com/news/articleView.html?idxno=889738,2016-09-07
745,746,2016-09-07 07:51:00,[충청브리핑] 김영란법 한파…꽁꽁 언 추석경기,다음은 7일자 충청권 신문들의 <b>헤드라인</b> 뉴스다. ◇대전일보 -추석 情 마저 얼려버린 청탁금지법 과일한우... 자사고비평준학교 <b>지원</b> 등 인재 유출 우려도 -또 밀실 총장 지명…청주대생 “민주적 선출해달라” 대학 연합... ,http://www.newdaily.co.kr/news/article.html?no=321526,http://www.newdaily.co.kr/news/article.html?no=321526,2016-09-07
145,146,2016-09-02 16:00:00,&lt;연합뉴스 이 시각 <b>헤드라인</b>&gt; - 16:00,전문보기 : http://yna.kr/P5Ru1K4DAzQ ■한부모가족 <b>지원</b> 늘린다…<b>양육</b>비 월 2만원 인상 한부모가족의 아동<b>양육</b>비 <b>지원</b>이 확대되고 부모교육 활성화 예산이 새로 편성된다. 여성가족부는 2017년 예산 및 기금운용계획... ,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160902124400011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160902124400011&did=1195m,2016-09-02
758,759,2016-07-21 14:27:00,"고태순 의원, &apos;2016 대한민국 미래경영대상&apos; 수상 영예",▲ 고태순 제주도의회 의원 ⓒ<b>헤드라인</b>제주 제주특별자치도의회 보건복지안전위원회 고태순 의원... 아동<b>양육</b>비 및 심리치료의 <b>지원</b>근거를 마련하는 등 피부에 와 닿는 복지정책 개발에 꾸준히 노력해 온 점이 높이... ,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=281540,http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=281540,2016-07-21
161,162,2016-07-21 12:00:00,&lt;연합뉴스 이 시각 <b>헤드라인</b>&gt; - 12:00,"민생안정을 <b>지원</b>하는 데 역점을 두고 마련했다&quot;고 말했다. 전문보기: http://yna.kr/YHR_1KKDA03 ■ 김상곤... 20대는 취업, 30대는 주택, 40대는 자녀 <b>양육</b>, 50대 이후부터는 노후준비 때문에 늘 걱정을 달고 살아야 한다.... ",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160721099100011&did=1195m,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160721099100011&did=1195m,2016-07-21
